date,Revenue,bing_cost,pinterest_cost,google_ads_cost,hulu_cost,facebook_cost
2021-08-12,90811.10,336.89,1944.35,4839.85,0.00,6044.30
2021-08-13,106547.21,400.22,1918.02,4719.27,0.00,6067.99
2021-08-14,106175.11,434.59,1923.93,6727.02,0.00,6570.23
2021-08-15,132023.39,475.75,1941.77,8726.04,0.00,6423.49
2021-08-16,125282.49,422.50,1953.80,6583.76,0.00,6081.10
2021-08-17,101675.90,351.60,1962.47,6634.25,0.00,6189.67
2021-08-18,100496.64,390.03,1929.61,6873.21,0.00,5925.96
2021-08-19,82545.25,368.06,1958.41,6034.03,0.00,5895.60
2021-08-20,91102.67,402.76,1948.99,6219.31,0.00,7546.76
2021-08-21,88729.26,450.66,1952.05,7970.70,0.00,7685.69
2021-08-22,127812.59,490.98,1970.05,9846.32,0.00,7451.86
2021-08-23,112832.36,403.35,2013.52,8405.46,0.00,7124.07
2021-08-24,92836.00,497.14,1974.11,8244.15,0.00,7249.29
2021-08-25,96561.10,616.56,1854.22,7189.50,0.00,7204.36
2021-08-26,96302.86,653.11,1937.97,7115.62,0.00,7788.63
2021-08-27,99311.98,568.35,2010.14,7747.75,0.00,7613.19
2021-08-28,110157.38,745.79,2058.02,9739.72,0.00,8068.54
2021-08-29,146090.91,780.94,2162.87,11400.33,0.00,7513.93
2021-08-30,115726.62,703.83,2080.94,9476.05,0.00,7205.80
2021-08-31,109159.63,750.12,1917.36,9399.80,0.00,7337.80
2021-09-01,102492.48,783.24,2008.12,10571.73,0.00,7460.26
2021-09-02,150719.55,427.87,2040.42,10975.19,0.00,7851.14
2021-09-03,128536.61,299.90,2056.50,12520.07,0.00,8414.08
2021-09-04,148302.70,350.82,2124.77,17404.17,0.00,9187.32
2021-09-05,167617.05,460.38,2212.70,21964.23,0.00,8943.60
2021-09-06,212896.47,623.56,2220.92,21235.44,0.00,8958.25
2021-09-07,149935.80,573.43,2105.55,12135.56,0.00,8512.94
2021-09-08,146351.54,685.36,2108.34,10714.24,0.00,8591.56
2021-09-09,118864.43,1057.78,2032.33,11218.04,0.00,9244.13
2021-09-10,114476.26,1055.53,2437.65,10199.11,0.00,9751.81
2021-09-11,166489.42,1310.47,2535.85,13520.82,0.00,10255.59
2021-09-12,189834.42,1364.48,2690.93,18528.59,0.00,10054.82
2021-09-13,136204.82,1182.78,2691.72,11777.68,0.00,9909.83
2021-09-14,168654.44,1097.61,2558.99,10898.79,0.00,10717.24
2021-09-15,128709.77,1224.73,2541.15,10856.23,0.00,10612.62
2021-09-16,137038.05,1337.80,2637.46,11591.36,0.00,11122.14
2021-09-17,142253.71,1087.08,2552.45,12177.02,0.00,11707.57
2021-09-18,170152.19,1475.88,2722.73,17564.61,0.00,11255.62
2021-09-19,202248.84,1678.67,2900.00,20588.03,0.00,11584.85
2021-09-20,192835.89,1210.37,2603.62,17218.01,0.00,11035.74
2021-09-21,165472.50,1179.28,2768.58,16629.92,0.00,12145.69
2021-09-22,152063.94,1644.46,2549.07,17620.47,0.00,12665.44
2021-09-23,157132.02,1383.93,2698.01,16463.64,0.00,12813.51
2021-09-24,180984.33,1478.81,2759.92,19258.57,0.00,13613.62
2021-09-25,209035.61,1917.67,2894.38,26170.31,0.00,14714.18
2021-09-26,218912.57,2262.64,2897.72,30569.91,0.00,14482.92
2021-09-27,201069.62,1768.32,2900.00,19107.20,0.00,13734.82
2021-09-28,180331.83,1664.76,2899.99,19312.63,0.00,14364.81
2021-09-29,179352.10,1618.67,2900.00,18610.47,0.00,14242.71
2021-09-30,183871.21,1647.42,2900.00,18681.63,0.00,14802.21
2021-10-01,202990.38,1681.52,2887.43,20979.60,0.00,15964.36
2021-10-02,223410.47,2094.05,2900.00,26257.61,0.00,15221.92
2021-10-03,219313.50,1871.30,2900.00,28415.61,0.00,15491.92
2021-10-04,183103.05,1848.75,2900.00,22421.03,0.00,15296.84
2021-10-05,186618.09,1577.45,2900.00,18266.00,0.00,17313.96
2021-10-06,159461.83,1383.00,2757.04,20839.67,0.00,15954.53
